festival,year,source_class,artifact_type,source_title,source_url,download_probe,causal_use,why_it_matters,next_gap
수원화성문화제,2020,official_original_with_referrer,입찰공고+공고문+과업지시서+제안요청서,제57회 수원화성문화제 행사 대행 용역 입찰 공고(협상계약),https://www.swcf.or.kr/?idx=17955&p=115&page=8&viewMode=view,"referrer GET: fileIdx 47566 content=application/force-download size=20992; fileIdx 47567 content=application/force-download size=138752",용역/RFP 구조 입증,"행사 대행 용역·과업지시서·제안요청서가 공식 페이지에 존재해 기획-대행 구조 추적의 기준점이 된다.",2026 제63회 원문 공고·평가결과·계약상대자 필요
수원화성문화제,2026,public_mirror_only,입찰공고 단서,제63회 수원화성문화제 행사운영 용역(협상),https://www.momo365.net/BidInfo?ViewType=detail&cd=free&iBidCode=2026042830130-0,not_probed_mirror,검색 큐 단서,"2026년 행사운영 용역 존재를 시사하지만 민간 미러라 원문 근거로는 약하다.",G2B 또는 수원시/수원문화재단 원문 확보 필요
부천국제만화축제,2025,official_original,입찰공고+제안요청서,2025년 부천국제만화축제 및 경기국제코스프레페스티벌 기획 운영 용역,https://www.komacon.kr/b_sys/index.asp?b_code=1&b_mode=view&b_sq=29271&nowPage=210&s_cate=&s_fld=&s_txt=,official_page_lists_hwp_attachments,용역/RFP 구조 입증,"공식 발주기관 사이트에 공고문과 제안요청서가 존재한다.",첨부 URL/header 추출 및 과업 범위 텍스트화
부천국제만화축제,2025,official_evaluation_result,제안서 평가결과,2025년 부천국제만화축제 및 경기국제코스프레페스티벌 기획 운영 용역 제안서 평가 결과 알림,https://www.komacon.kr/b_sys/index.asp?b_code=4&b_mode=view&b_sq=29393&nowPage=3&s_cate=2&s_fld=&s_txt=,"search exposed att_sq=10540,10541 PDFs",공고-평가 연결,"공고와 평가결과가 같은 발주기관에서 확인되어 업체선정 과정까지 원인 후보로 추적할 수 있다.",PDF 평가표에서 점수·업체명·평가항목 추출
부천국제만화축제,2022,official_original_downloadable,홈페이지 개편 및 운영 용역,제25회 부천국제만화축제 홈페이지 개편 및 운영 용역,https://www.komacon.kr/b_sys/index.asp?b_code=1&b_mode=view&b_sq=26680&nowPage=54&s_cate=&s_fld=&s_txt=,"referrer GET: att_sq 8481 size=90112; 8483 size=113152; 8484 size=945966",보조 운영구조 근거,"전체 축제 운영은 아니지만 축제 홈페이지 운영·과업지시서가 공식 첨부로 확인된다.",축제 전체 운영대행과 혼동하지 않도록 별도 분류 유지
인천펜타포트음악축제,2026,mirror_downloadable_original_copy,공모지침서 PDF,2026 인천펜타포트음악축제 공동 사업자 모집 공모지침서,https://grant-documents.thevc.kr/289427_%28%EB%82%98%EB%9D%BC%EC%9E%A5%ED%84%B0%291._2026_%EC%9D%B8%EC%B2%9C%ED%8E%9C%ED%83%80%ED%8F%AC%ED%8A%B8%EC%9D%8C%EC%95%85%EC%B6%95%EC%A0%9C_%EA%B3%B5%EB%AA%A8%EC%A7%80%EC%B9%A8%EC%84%9C.pdf,"HEAD 200 application/pdf content-length=2859677",공동사업자 구조 강한 단서,"공모지침서 PDF가 공개되어 공동사업자·투자확약·제안서 구조를 분석할 수 있다.",ITO/G2B 원문 페이지 확보 필요
인천펜타포트음악축제,2026,g2b_direct_blocked,공모지침서 HWP,나라장터 첨부파일 direct URL,https://www.g2b.go.kr/pn/pnp/pnpe/UntyAtchFile/downloadFile.do?bidPbancNo=R26BK01257257&bidPbancOrd=000&fileSeq=2&fileType=&prcmBsneSeCd=09,HEAD 403 JSON,접근성 한계,"원문 플랫폼 URL은 식별됐지만 익명 direct 다운로드가 차단되어 자동수집 경로에 장애가 있다.",브라우저/공고 상세 페이지 기반 합법 접근 경로 확인
인천펜타포트음악축제,2026,third_party_news,협상적격 1순위,2026 인천펜타포트음악축제 공동사업자 모집 결과 보도,https://v.daum.net/v/20260223175505907?f=p,not_download_artifact,사업자 단서,"경기일보가 협상적격 1순위로 선정됐다는 보도로 운영 주체 추적의 시작점이 된다.",ITO 공식 선정결과 공고 또는 계약자료 필요
인천펜타포트음악축제,2018-2019,policy_report,운영조직 연구보고서,인천 음악축제 운영조직의 효율화 방안,https://www.ii.re.kr/base/linked/report/preview?atchSeq=1&boardNo=15431&div=A1&projcd=1020JU0003&seq=4,public_pdf,구조적 배경,"인천관광공사가 공동주관사를 선정해 개최하는 구조와 과거 공동주관사 예시를 설명한다.",2020-2026 공동사업자 연속 테이블화
철원한탄강얼음트레킹,2024,official_evaluation_result,제안서 평가결과,제13회 철원 한탄강 얼음트레킹 축제 주관대행용역 제안서 평가결과 공개,https://gcwcf.or.kr/w5_2/63,"curl HEAD redirected to se-cu error; browser/search page text available",평가결과 근거,"공식 재단 페이지가 평가결과 공개를 명시하므로 업체선정·평가항목 추적의 출발점이다.",첨부파일 또는 평가표 직접 URL 확보 필요
철원한탄강얼음트레킹,2021,procurement_mirror,입찰공고 HWP 단서,제10회 철원 한탄강 얼음트레킹 축제 주관대행용역,https://cnc.cacf.or.kr/main/html/sub04/0401.html?GotoPage=197&mode=V&no=4e6856ef006b3ae5ce41cd65a6042c68,mirror_page_lists_hwp,과거 RFP 구조 단서,"과거 주관대행용역 공고와 G2B 원문번호가 확인되어 장기 운영구조 추적에 유용하다.",G2B 원문과 낙찰/계약/정산 자료 연결 필요
부평풍물대축제,2026,official_event_only,행사개요,부평풍물대축제 공식 소개,https://portal.icbp.go.kr/bpf/pungmul/introduce.asp,not_procurement,행사 실재 근거,"행사 개요는 공식이나 대행·계약 구조는 아직 확인되지 않았다.",부평구/문화재단 입찰공고·평가결과 검색 필요
동래읍성축제,2026,official_event_only,행사개요,동래읍성축제 공식 페이지,https://www.dongnae.go.kr/festival/index.dongnae,not_procurement,행사 실재 근거,"행사 개요는 공식이나 대행·계약 구조는 아직 확인되지 않았다.",동래구 입찰공고·보조금·정산자료 검색 필요
